iter	Passed	Remaining
0	4	471
1	9	442
2	12	402
3	15	372
4	19	367
5	22	344
6	24	327
7	26	307
8	28	292
9	30	278
10	32	264
11	34	252
12	35	240
13	37	229
14	38	218
15	39	209
16	41	200
17	42	193
18	43	187
19	44	179
20	45	172
21	46	165
22	47	159
23	48	153
24	49	149
25	50	144
26	51	139
27	52	135
28	53	131
29	54	127
30	55	123
31	56	119
32	57	116
33	57	112
34	58	109
35	59	105
36	60	102
37	61	100
38	62	97
39	62	94
40	63	91
41	63	88
42	64	85
43	65	83
44	66	80
45	66	78
46	67	76
47	68	73
48	69	71
49	69	69
50	70	67
51	71	65
52	71	63
53	72	61
54	73	59
55	73	58
56	74	56
57	75	54
58	76	52
59	76	51
60	77	49
61	78	48
62	79	46
63	79	44
64	80	43
65	81	41
66	81	40
67	82	38
68	83	37
69	84	36
70	85	34
71	85	33
72	86	32
73	87	30
74	88	29
75	88	28
76	89	26
77	90	25
78	90	24
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	95	16
85	96	15
86	97	14
87	97	13
88	98	12
89	99	11
90	100	9
91	100	8
92	101	7
93	102	6
94	103	5
95	103	4
96	104	3
97	105	2
98	105	1
99	106	0
