iter	Passed	Remaining
0	1	1862
1	3	1676
2	4	1646
3	6	1572
4	7	1560
5	9	1519
6	10	1542
7	12	1506
8	13	1480
9	14	1467
10	16	1446
11	17	1437
12	18	1427
13	20	1416
14	21	1405
15	22	1404
16	24	1395
17	25	1407
18	27	1402
19	28	1392
20	29	1385
21	30	1377
22	32	1376
23	33	1367
24	34	1364
25	36	1359
26	37	1351
27	38	1346
28	40	1354
29	41	1357
30	43	1356
31	44	1353
32	46	1350
33	47	1348
34	48	1343
35	49	1338
36	51	1333
37	52	1330
38	53	1325
39	55	1322
40	56	1323
41	57	1319
42	59	1314
43	60	1311
44	61	1305
45	62	1303
46	64	1299
47	65	1294
48	66	1290
49	67	1289
50	69	1288
51	70	1286
52	72	1288
53	73	1285
54	74	1282
55	76	1281
56	77	1277
57	78	1274
58	79	1273
59	81	1269
60	82	1267
61	83	1264
62	84	1261
63	86	1262
64	87	1262
65	89	1260
66	90	1258
67	91	1255
68	92	1252
69	94	1251
70	95	1248
71	96	1247
72	98	1244
73	99	1241
74	100	1240
75	102	1242
76	103	1240
77	104	1237
78	105	1234
79	107	1232
80	108	1230
81	109	1228
82	110	1220
83	111	1217
84	112	1214
85	114	1212
86	115	1210
87	116	1211
88	118	1212
89	119	1210
90	120	1207
91	122	1206
92	123	1204
93	124	1202
94	126	1200
95	127	1199
96	128	1197
97	129	1195
98	131	1194
99	132	1195
100	134	1193
101	135	1191
102	136	1189
103	137	1188
104	139	1187
105	140	1184
106	141	1183
107	142	1181
108	144	1179
109	145	1177
110	147	1178
111	148	1177
112	149	1175
113	150	1173
114	152	1171
115	153	1170
116	154	1166
117	155	1165
118	157	1164
119	158	1162
120	159	1161
121	160	1157
122	162	1158
123	163	1157
124	165	1155
125	166	1153
126	167	1150
127	168	1148
128	169	1147
129	171	1145
130	172	1144
131	173	1142
132	175	1141
133	176	1139
134	177	1140
135	179	1138
136	180	1136
137	181	1135
138	182	1133
139	184	1131
140	185	1131
141	186	1127
142	188	1126
143	189	1125
144	190	1124
145	192	1123
146	193	1123
147	194	1122
148	196	1121
149	197	1120
150	199	1119
151	200	1118
152	201	1117
153	203	1115
154	204	1113
155	205	1112
156	206	1111
157	208	1113
158	210	1111
159	211	1110
160	212	1106
161	213	1105
162	214	1103
163	216	1102
164	217	1100
165	218	1099
166	220	1097
167	221	1096
168	223	1097
169	224	1096
170	225	1095
171	227	1093
172	228	1092
173	229	1091
174	231	1089
175	232	1088
176	233	1086
177	234	1084
178	236	1083
179	237	1082
180	239	1082
181	240	1080
182	241	1078
183	242	1077
184	244	1076
185	245	1074
186	246	1072
187	248	1071
188	249	1069
189	250	1068
190	251	1066
191	253	1066
192	254	1064
193	255	1063
194	257	1061
195	258	1060
196	259	1059
197	261	1057
198	262	1056
199	263	1055
200	265	1053
201	266	1052
202	267	1050
203	269	1050
204	270	1049
205	271	1048
206	273	1046
207	274	1045
208	275	1044
209	277	1042
210	278	1041
211	279	1040
212	281	1038
213	282	1037
214	284	1037
215	285	1035
216	286	1034
217	287	1032
218	288	1030
219	290	1028
220	291	1027
221	292	1025
222	293	1024
223	295	1022
224	296	1021
225	297	1020
226	299	1020
227	300	1018
228	302	1017
229	303	1016
230	304	1015
231	306	1013
232	307	1013
233	308	1011
234	310	1009
235	311	1008
236	313	1007
237	314	1007
238	315	1005
239	317	1004
240	318	1002
241	319	1001
242	321	1000
243	322	998
244	323	997
245	325	996
246	326	994
247	327	993
248	329	994
249	330	992
250	332	991
251	333	989
252	334	987
253	335	986
254	337	985
255	338	983
256	339	981
257	340	980
258	342	978
259	343	977
260	345	977
261	346	975
262	347	974
263	348	972
264	350	971
265	351	969
266	352	968
267	354	967
268	355	965
269	356	964
270	357	962
271	359	961
272	360	959
273	361	959
274	363	957
275	364	955
276	365	954
277	367	953
278	368	951
279	369	950
280	371	949
281	372	948
282	374	947
283	375	946
284	376	944
285	377	943
286	379	942
287	380	941
288	382	940
289	383	938
290	384	937
291	385	935
292	387	934
293	388	933
294	390	932
295	391	931
296	392	929
297	394	928
298	395	927
299	397	926
300	398	925
301	399	924
302	401	922
303	402	921
304	403	920
305	405	919
306	406	918
307	408	917
308	409	915
309	410	914
310	412	913
311	413	911
312	414	910
313	415	908
314	417	907
315	418	906
316	420	905
317	421	904
318	423	903
319	424	902
320	425	900
321	427	899
322	428	898
323	429	897
324	431	895
325	432	894
326	433	893
327	435	892
328	436	890
329	438	889
330	439	888
331	440	887
332	442	885
333	443	884
334	444	882
335	446	881
336	447	880
337	448	878
338	450	878
339	451	877
340	453	875
341	454	874
342	456	873
343	457	872
344	458	870
345	459	869
346	461	867
347	462	866
348	463	864
349	465	865
350	467	863
351	468	862
352	469	861
353	471	859
354	472	858
355	474	858
356	475	856
357	476	855
358	478	853
359	479	852
360	481	851
361	482	850
362	483	849
363	485	847
364	486	846
365	487	844
366	489	843
367	490	842
368	491	840
369	492	839
370	494	837
371	495	836
372	496	835
373	498	834
374	499	833
375	500	831
376	502	829
377	503	828
378	504	826
379	505	825
380	507	824
381	508	822
382	510	821
383	511	820
384	512	819
385	514	818
386	515	816
387	516	815
388	518	813
389	519	812
390	520	810
391	521	809
392	523	808
393	524	806
394	526	806
395	527	805
396	529	803
397	530	802
398	532	801
399	533	800
400	534	799
401	536	797
402	537	796
403	538	794
404	540	793
405	541	792
406	543	791
407	544	789
408	545	788
409	547	787
410	548	785
411	549	784
412	550	783
413	552	781
414	553	780
415	554	778
416	556	777
417	557	776
418	559	775
419	560	773
420	561	772
421	562	771
422	564	769
423	565	768
424	566	767
425	568	765
426	569	764
427	571	764
428	573	763
429	574	762
430	576	760
431	577	759
432	578	758
433	580	756
434	581	755
435	582	753
436	584	752
437	585	751
438	587	750
439	588	749
440	589	747
441	591	746
442	592	745
443	594	744
444	595	742
445	596	741
446	598	739
447	599	738
448	600	736
449	601	735
450	603	734
451	604	733
452	605	731
453	607	730
454	608	728
455	609	727
456	611	726
457	612	724
458	613	723
459	614	721
460	616	720
461	617	719
462	619	718
463	620	716
464	621	715
465	622	713
466	624	712
467	625	711
468	626	709
469	628	708
470	629	706
471	630	705
472	632	704
473	633	702
474	634	701
475	635	699
476	637	698
477	638	697
478	639	696
479	641	694
480	642	693
481	643	691
482	644	690
483	646	689
484	647	687
485	649	686
486	650	685
487	651	683
488	653	682
489	654	681
490	655	679
491	657	678
492	658	677
493	659	675
494	660	674
495	662	672
496	663	671
497	665	670
498	666	669
499	667	667
500	668	666
501	670	664
502	671	663
503	672	662
504	674	660
505	675	659
506	676	658
507	678	657
508	679	655
509	681	654
510	682	653
511	683	651
512	685	650
513	686	648
514	687	647
515	688	646
516	690	644
517	691	643
518	692	642
519	694	640
520	695	639
521	696	637
522	697	636
523	699	635
524	700	633
525	701	632
526	703	631
527	704	629
528	705	628
529	707	627
530	708	625
531	709	624
532	711	623
533	712	621
534	713	620
535	714	618
536	716	617
537	717	615
538	718	614
539	719	613
540	721	611
541	722	610
542	723	609
543	725	607
544	726	606
545	727	605
546	729	603
547	730	602
548	731	601
549	733	599
550	734	598
551	735	597
552	737	595
553	738	594
554	739	593
555	741	591
556	742	590
557	743	589
558	745	587
559	746	586
560	747	585
561	749	583
562	750	582
563	751	580
564	752	579
565	754	578
566	755	576
567	756	575
568	758	574
569	759	572
570	760	571
571	761	570
572	763	568
573	764	567
574	765	565
575	767	564
576	768	563
577	769	562
578	771	560
579	772	559
580	773	558
581	775	556
582	776	555
583	777	554
584	779	552
585	780	551
586	781	550
587	783	548
588	784	547
589	785	546
590	787	544
591	788	543
592	790	542
593	791	540
594	792	539
595	794	538
596	795	536
597	796	535
598	798	534
599	799	533
600	800	531
601	802	530
602	803	529
603	804	527
604	806	526
605	807	524
606	808	523
607	809	522
608	811	520
609	812	519
610	813	518
611	815	516
612	816	515
613	817	514
614	818	512
615	820	511
616	821	509
617	822	508
618	824	507
619	825	505
620	826	504
621	827	503
622	829	501
623	830	500
624	831	499
625	833	497
626	834	496
627	835	495
628	837	493
629	838	492
630	839	491
631	841	489
632	842	488
633	844	487
634	845	486
635	847	484
636	848	483
637	850	482
638	851	481
639	852	479
640	854	478
641	856	477
642	857	476
643	858	474
644	860	473
645	861	472
646	862	470
647	864	469
648	865	468
649	867	466
650	868	465
651	869	464
652	870	462
653	872	461
654	873	459
655	874	458
656	875	457
657	877	456
658	878	454
659	879	453
660	881	451
661	882	450
662	883	449
663	884	447
664	886	446
665	887	445
666	888	443
667	889	442
668	891	441
669	892	439
670	894	438
671	895	436
672	896	435
673	897	434
674	899	432
675	900	431
676	901	430
677	902	428
678	904	427
679	905	426
680	906	424
681	908	423
682	909	422
683	910	420
684	911	419
685	913	417
686	914	416
687	915	415
688	916	413
689	918	412
690	919	411
691	921	409
692	922	408
693	923	407
694	925	405
695	926	404
696	927	403
697	929	401
698	930	400
699	931	399
700	933	398
701	934	396
702	935	395
703	937	394
704	938	392
705	940	391
706	941	390
707	942	388
708	943	387
709	945	386
710	946	384
711	947	383
712	948	381
713	950	380
714	951	379
715	952	377
716	954	376
717	955	375
718	956	373
719	958	372
720	959	371
721	960	369
722	961	368
723	963	367
724	964	365
725	965	364
726	967	363
727	968	361
728	969	360
729	970	359
730	972	357
731	973	356
732	974	354
733	975	353
734	976	352
735	978	350
736	979	349
737	980	348
738	982	346
739	983	345
740	984	344
741	986	342
742	987	341
743	988	340
744	989	338
745	990	337
746	992	336
747	993	334
748	994	333
749	996	332
750	997	330
751	998	329
752	1000	328
753	1001	326
754	1002	325
755	1003	323
756	1004	322
757	1006	321
758	1007	319
759	1008	318
760	1010	317
761	1011	315
762	1012	314
763	1014	313
764	1015	311
765	1016	310
766	1017	309
767	1019	307
768	1020	306
769	1021	305
770	1022	303
771	1024	302
772	1025	301
773	1026	299
774	1028	298
775	1029	297
776	1031	295
777	1032	294
778	1033	293
779	1035	291
780	1036	290
781	1037	289
782	1038	287
783	1040	286
784	1041	285
785	1042	283
786	1044	282
787	1045	281
788	1046	279
789	1047	278
790	1049	277
791	1050	275
792	1051	274
793	1053	273
794	1054	271
795	1055	270
796	1057	269
797	1058	267
798	1059	266
799	1061	265
800	1062	263
801	1063	262
802	1064	261
803	1066	259
804	1067	258
805	1068	257
806	1069	255
807	1071	254
808	1072	253
809	1073	251
810	1075	250
811	1076	249
812	1077	247
813	1078	246
814	1079	245
815	1081	243
816	1082	242
817	1083	241
818	1084	239
819	1086	238
820	1087	237
821	1089	235
822	1090	234
823	1091	233
824	1093	231
825	1094	230
826	1096	229
827	1097	227
828	1098	226
829	1100	225
830	1101	223
831	1102	222
832	1104	221
833	1105	220
834	1106	218
835	1107	217
836	1109	216
837	1110	214
838	1111	213
839	1113	212
840	1114	210
841	1115	209
842	1116	208
843	1118	206
844	1119	205
845	1120	204
846	1122	202
847	1123	201
848	1124	200
849	1125	198
850	1127	197
851	1128	196
852	1129	194
853	1130	193
854	1132	191
855	1133	190
856	1134	189
857	1136	188
858	1137	186
859	1138	185
860	1140	184
861	1141	182
862	1142	181
863	1143	180
864	1145	178
865	1146	177
866	1147	176
867	1149	174
868	1150	173
869	1151	172
870	1153	170
871	1154	169
872	1155	168
873	1156	166
874	1158	165
875	1159	164
876	1160	162
877	1162	161
878	1163	160
879	1165	158
880	1166	157
881	1167	156
882	1169	154
883	1170	153
884	1172	152
885	1173	151
886	1175	149
887	1176	148
888	1177	147
889	1179	145
890	1180	144
